nek@gesture-meaning	nek@	00:08:18.480	498.48	00:08:19.310	499.31	00:00:00.830	0.83	"то есть"
nek@gesture-meaning	nek@	00:08:35.010	515.01	00:08:36.700	516.7	00:00:01.690	1.69	в кавычках
nek@gesture-meaning	nek@	00:08:42.230	522.23	00:08:44.010	524.01	00:00:01.780	1.78	пояснение
nek@gesture-meaning	nek@	00:08:49.855	529.855	00:08:51.735	531.735	00:00:01.880	1.88	пояснение
nek@gesture-meaning	nek@	00:08:54.390	534.39	00:08:55.500	535.5	00:00:01.110	1.11	пояснение
nek@facial	nek@	00:07:36.060	456.06	00:07:37.630	457.63	00:00:01.570	1.57	улыбка
nek@facial	nek@	00:07:54.130	474.13	00:07:54.940	474.94	00:00:00.810	0.81	хмурится
nek@facial	nek@	00:08:15.100	495.1	00:08:17.150	497.15	00:00:02.050	2.05	смотрит вверх
nek@facial	nek@	00:08:21.450	501.45	00:08:23.900	503.9	00:00:02.450	2.45	улыбается
nek@facial	nek@	00:09:08.190	548.19	00:09:09.630	549.63	00:00:01.440	1.44	улыбается
nek@facial-meaning	nek@	00:07:36.060	456.06	00:07:37.630	457.63	00:00:01.570	1.57	смешно
nek@facial-meaning	nek@	00:07:54.130	474.13	00:07:54.940	474.94	00:00:00.810	0.81	"неважно"
nek@facial-meaning	nek@	00:08:15.100	495.1	00:08:17.150	497.15	00:00:02.050	2.05	задумался
nek@facial-meaning	nek@	00:08:21.450	501.45	00:08:23.900	503.9	00:00:02.450	2.45	смешно
nek@facial-meaning	nek@	00:09:08.190	548.19	00:09:09.630	549.63	00:00:01.440	1.44	смешно
